Real_Name,paper_name,EstimatedLonePairs,num_electroneg_1_3_neighbors,mean_ring_planarity,ElectronegativitySum,Net partial charge,NCO_count,num_nitrogens,num_oxygens,num_sulfurs,num_hbd,num_hba,num_carbon_aromatic_rings,num_nitrogen_aromatic_rings,num_all_cycle_atoms,num_cycle_nitrogens,num_cycle_oxygens,num_cycle_sulfurs,num_cycle_carbons,pore_avg,pore_median,pore_std
T1+2B1+HB,T1+2B1+HB,79.5,0,0.4366,289.93,-7.003,6,6,20,8,6,28,3,0,47,6,0,8,33,2.4461640259740265,1.71193,2.699087378332425
T1+2+HB,T1+2+HB,69.0,0,0.5325,253.44,-5.999,6,6,18,6,6,24,2,0,42,6,0,6,30,3.1917266086956526,2.31574,2.372843326471938
2Anthracene+dithiol+2DM,2Anthracene+dithiol+2DM,50.0,0,0.1139,300.04,-3.996,4,4,14,4,4,18,4,0,30,4,0,4,22,7.032824579124579,5.66403,3.7622621623371018
T1+2,T1+2,69.0,0,0.5325,253.44,-5.999,6,6,18,6,6,24,2,0,42,6,0,6,30,3.1917266086956526,2.31574,2.372843326471938
3Anthracene+dithiol+3DM,3Anthracene+dithiol+3DM,75.0,0,0.1453,450.06,-5.999,6,6,21,6,6,27,7,0,47,6,0,6,35,11.200306340508808,10.78104,5.8244224734558845
2Anthracene+dithiol+1DM,2Anthracene+dithiol+1DM,48.0,0,0.1302,273.2,-3.998,4,4,13,4,4,17,4,0,29,4,0,4,21,5.151465836909871,4.5609,2.396536646109945
asb29+neutral,asb29+neutral,20.0,0,0.3005,244.98,-0.001,4,4,8,0,8,8,6,0,42,4,0,0,38,10.407224625267666,9.77701,5.6474447313307605
asb32,asb32,20.0,0,0.4216,229.68,-4.004,4,4,8,0,4,8,4,0,36,4,0,0,32,6.243342024169184,5.56663,3.623218271764839
asb29,asb29,48.0,0,0.3004,236.18,-4.002,0,4,8,0,4,12,6,0,42,4,0,0,38,10.734538095238095,10.13711,5.832567505645582
asb30,asb30,20.0,0,0.2302,215.78,-4.0,4,4,8,0,4,8,4,0,30,4,0,0,26,3.4492208387096777,2.78728,3.0561695536364035
asb31,asb31,42.0,0,0.2129,243.58,-4.001,0,4,8,0,4,12,4,0,30,4,0,0,26,3.3220534693877557,2.37923,2.75782307530016
asb32+neutral,asb32+neutral,20.0,0,0.4215,238.48,-0.004,4,4,8,0,8,8,4,0,36,4,0,0,32,6.311459879154078,5.56597,3.804279102452776
asb31+neutral,asb31+neutral,20.0,0,0.2128,252.38,-0.003,4,4,8,0,8,8,4,0,30,4,0,0,26,4.027665343915344,2.71223,2.901899781299184
asb30+neutral,asb30+neutral,20.0,0,0.2302,224.58,0.0,4,4,8,0,8,8,4,0,30,4,0,0,26,3.72622182320442,3.294,2.5994806387229685
